Avg sleep time,Avg study time,Avg video game time,BMI,In a relationship,Family financial status,GPA,Laptop brand,TOEIC grade,IQ,Grade
10,4,12,30.0,No,high,4.1000000000000005,Asus,180,112,80+
7,3,1,21.0,No,high,2.1,Acer,720,127,60-
6,5,13,19.0,No,high,2.7,Asus,30,124,80+
6,8,0,30.0,No,average,3.6,Acer,675,128,60-
7,8,12,27.0,Yes,high,4.1000000000000005,Dell,510,102,80+
7,4,2,26.0,Yes,average,1.8,HP,725,110,60-
8,4,0,23.0,No,high,2.9000000000000004,HP,430,134,60-
7,2,3,32.0,Yes,average,2.6,Acer,475,152,80+
6,2,1,27.0,No,average,3.7,Leveno,160,104,80+
9,7,3,26.0,Yes,low,3.7,Dell,135,142,80+
10,7,1,33.0,Yes,high,4.3,Leveno,375,127,80+
5,12,2,34.0,No,high,2.9000000000000004,Apple,475,139,80+
8,7,0,24.0,Yes,low,2.9000000000000004,Apple,310,123,80+
5,8,0,31.0,Yes,low,3.4000000000000004,Leveno,675,107,80+
7,5,3,21.0,No,low,2.1,HP,575,134,60~80
7,3,2,21.0,No,high,3.7,Asus,540,126,80+
8,3,7,23.0,Yes,average,3.4000000000000004,Acer,200,100,60-
6,4,10,21.0,No,average,4.1000000000000005,Asus,175,145,80+
6,4,2,33.0,Yes,average,3.9000000000000004,Dell,765,108,80+
8,4,2,24.0,No,average,3.9000000000000004,Dell,665,140,80+
9,3,13,29.0,Yes,high,2.0,Apple,450,141,80+
6,5,12,19.0,No,average,4.0,Apple,430,129,80+
9,2,2,29.0,Yes,high,2.8000000000000003,Dell,570,100,60-
4,5,2,29.0,Yes,low,3.1,Acer,415,148,80+
9,7,10,32.0,Yes,average,3.9000000000000004,Dell,330,131,80+
8,5,2,33.0,Yes,low,4.1000000000000005,HP,505,113,80+
12,5,2,30.0,Yes,average,3.6,Asus,715,147,80+
6,6,8,21.0,Yes,low,2.9000000000000004,HP,220,135,60-
6,3,6,32.0,Yes,average,3.6,Acer,480,103,60-
6,3,12,29.0,No,average,1.9000000000000001,Acer,390,125,60-
5,5,8,28.0,Yes,high,4.2,Apple,415,107,80+
12,4,10,23.0,Yes,high,4.1000000000000005,Apple,500,144,80+
8,5,0,35.0,No,low,3.0,Asus,255,138,60~80
6,7,1,29.0,No,average,2.1,HP,515,127,60-
6,8,0,23.0,Yes,average,3.9000000000000004,Leveno,660,117,80+
6,3,3,27.0,Yes,high,1.9000000000000001,HP,60,116,80+
8,5,5,24.0,Yes,low,3.9000000000000004,Leveno,910,129,80+
8,14,4,22.0,Yes,high,2.0,Leveno,360,120,60-
7,10,2,34.0,Yes,high,4.2,Acer,300,147,80+
11,4,1,21.0,Yes,high,2.9000000000000004,Leveno,445,144,80+
8,4,2,33.0,No,average,3.9000000000000004,Asus,820,136,80+
12,2,3,21.0,Yes,low,3.9000000000000004,Leveno,160,116,80+
8,3,11,28.0,No,average,3.5,Acer,355,120,60-
5,3,2,31.0,Yes,high,4.0,Leveno,855,140,80+
7,7,1,34.0,Yes,low,4.1000000000000005,HP,730,141,80+
7,7,4,21.0,No,low,3.5,Acer,380,139,80+
7,2,2,25.0,Yes,average,2.6,Acer,475,105,80+
7,5,0,34.0,Yes,high,2.8000000000000003,Acer,465,104,60-
5,5,8,26.0,No,average,3.5,Asus,585,101,60-
5,1,2,25.0,Yes,average,3.2,Asus,645,120,60~80
7,5,0,21.0,No,average,3.8000000000000003,Leveno,835,174,80+
7,2,4,31.0,No,low,3.9000000000000004,Asus,365,139,80+
9,2,9,23.0,Yes,average,3.5,Leveno,0,125,60-
10,11,5,26.0,Yes,high,2.5,Asus,510,127,60-
7,3,2,33.0,Yes,average,1.9000000000000001,HP,805,135,60~80
10,5,2,34.0,Yes,low,1.9000000000000001,Apple,470,158,80+
3,3,2,27.0,Yes,average,3.6,Acer,890,130,60~80
7,13,0,22.0,No,low,2.5,Asus,785,135,60-
6,6,5,23.0,Yes,high,2.5,Asus,865,145,60~80
6,3,13,35.0,No,high,3.4000000000000004,Apple,225,123,80+
8,2,1,24.0,Yes,average,2.2,Apple,450,143,60-
5,3,1,32.0,No,average,1.9000000000000001,Apple,370,131,80+
10,7,13,23.0,Yes,low,3.7,HP,845,116,80+
6,4,1,34.0,No,low,2.7,HP,150,108,80+
