Avg sleep time,Avg study time,Avg video game time,BMI,In a relationship,Family financial status,GPA,Laptop brand,TOEIC grade,IQ,Grade
7,6,1,22.0,Yes,high,4.3,HP,405,100,80+
8,4,0,21.0,No,low,3.0,Leveno,295,141,60~80
5,5,9,29.0,Yes,high,3.5,HP,120,125,60-
7,3,6,32.0,Yes,high,3.0,Asus,810,148,60-
4,2,5,26.0,Yes,low,2.1,Leveno,380,143,60-
11,2,6,23.0,Yes,low,3.1,HP,905,120,60-
8,6,2,30.0,No,low,3.7,Leveno,435,111,80+
12,7,2,27.0,No,average,1.8,Dell,990,135,80+
8,6,13,26.0,Yes,low,3.6,HP,200,138,60-
3,2,5,28.0,Yes,high,4.2,Apple,135,127,80+
7,4,1,25.0,Yes,average,2.3000000000000003,Acer,725,112,60~80
8,7,0,29.0,Yes,low,4.0,Asus,320,110,80+
8,12,1,23.0,No,average,2.0,HP,810,129,80+
9,3,1,25.0,No,low,3.2,Leveno,790,119,60-
7,5,6,30.0,Yes,high,2.3000000000000003,Acer,530,124,60-
8,4,5,21.0,No,low,3.6,HP,470,138,60-
10,3,0,21.0,No,low,2.8000000000000003,HP,110,108,60~80
6,5,12,22.0,No,high,3.7,Leveno,875,125,80+
8,3,7,32.0,Yes,low,3.8000000000000003,HP,670,125,80+
10,2,7,27.0,No,high,3.5,Asus,730,135,60-
7,3,2,26.0,Yes,average,2.3000000000000003,Dell,200,115,60~80
6,3,0,30.0,Yes,high,3.1,Dell,410,111,60-
5,5,1,33.0,No,average,4.1000000000000005,Leveno,275,141,80+
8,5,1,30.0,No,low,4.0,Acer,750,149,80+
5,7,2,32.0,No,low,1.9000000000000001,Acer,650,113,80+
9,5,1,25.0,Yes,high,2.6,Apple,415,148,80+
7,7,1,31.0,No,average,3.0,Apple,990,147,80+
6,12,0,24.0,Yes,high,1.8,Dell,325,136,60-
7,3,7,22.0,No,low,3.2,Dell,450,175,80+
6,5,8,29.0,Yes,high,3.7,HP,425,132,80+
