Avg sleep time,Avg study time,Avg video game time,BMI,In a relationship,Family financial status,GPA,Laptop brand,TOEIC grade,IQ,Grade
7,2,0,20.0,Yes,low,3.7,HP,575,129,80+
8,6,2,34.0,Yes,low,4.0,Asus,300,119,80+
8,4,2,32.0,No,average,3.0,Leveno,580,122,80+
8,3,0,26.0,No,low,3.6,Dell,60,135,60~80
8,4,4,24.0,No,high,2.1,Asus,485,120,80+
7,8,3,19.0,Yes,high,4.0,HP,300,144,80+
12,8,1,35.0,No,low,1.9000000000000001,Acer,615,132,60~80
7,2,11,35.0,Yes,low,1.9000000000000001,Asus,460,112,60-
5,3,8,28.0,No,average,1.8,HP,585,100,60-
6,3,0,32.0,No,low,2.9000000000000004,Leveno,245,145,60~80
5,14,9,32.0,Yes,average,2.7,Asus,580,106,60-
4,5,0,21.0,No,average,1.9000000000000001,HP,500,113,80+
5,3,3,23.0,No,high,4.3,HP,720,130,80+
7,8,0,20.0,No,low,3.2,Acer,830,119,60-
7,3,10,30.0,Yes,average,4.0,Leveno,700,124,80+
6,4,12,35.0,Yes,high,4.3,Dell,460,107,80+
6,6,2,33.0,Yes,average,1.8,Dell,470,124,60~80
10,6,13,28.0,No,high,3.7,Apple,565,115,80+
6,5,0,19.0,Yes,average,4.1000000000000005,Dell,975,134,80+
7,3,9,31.0,Yes,average,3.6,Leveno,815,172,80+
12,5,2,28.0,Yes,high,2.0,Apple,570,125,80+
7,7,1,33.0,No,average,4.1000000000000005,Acer,110,134,80+
7,5,9,33.0,Yes,low,2.6,Dell,660,120,60-
8,2,0,33.0,Yes,high,1.8,Apple,470,137,80+
5,3,4,32.0,No,average,2.6,Leveno,450,126,80+
6,8,2,25.0,No,average,2.3000000000000003,Asus,825,102,60~80
8,4,0,19.0,Yes,high,2.2,Dell,305,175,80+
11,1,2,26.0,No,high,3.6,HP,390,108,60~80
6,2,0,33.0,Yes,average,4.0,Dell,400,113,80+
7,4,0,34.0,No,low,3.3000000000000003,Leveno,655,105,80+
5,4,0,20.0,No,average,4.2,Acer,270,141,80+
5,3,3,35.0,No,high,3.7,Asus,335,101,80+
7,3,1,26.0,No,average,3.5,HP,590,105,60~80
7,3,9,22.0,Yes,low,3.5,Dell,195,102,60-
9,7,13,31.0,No,high,4.1000000000000005,Asus,825,119,80+
11,5,11,28.0,Yes,high,4.1000000000000005,Apple,700,105,80+
6,3,9,19.0,No,low,3.5,Asus,110,142,60-
6,3,10,35.0,Yes,low,3.1,Leveno,275,136,60-
10,8,7,32.0,No,high,1.8,Leveno,465,148,60-
6,6,3,30.0,Yes,low,2.5,Leveno,415,135,60-
9,8,2,28.0,Yes,high,3.3000000000000003,Acer,395,117,60-
8,4,3,31.0,No,high,1.9000000000000001,Acer,480,133,60-
7,5,8,25.0,No,low,4.0,Acer,250,118,80+
6,3,2,23.0,No,average,2.9000000000000004,Leveno,300,134,80+
5,4,1,31.0,No,low,2.3000000000000003,Apple,530,119,60-
5,3,2,23.0,No,high,3.3000000000000003,HP,260,123,60~80
10,3,3,24.0,No,low,3.1,Asus,335,112,60~80
12,4,11,30.0,Yes,low,3.6,HP,705,112,60-
4,2,2,29.0,No,low,3.7,Asus,585,114,80+
8,7,7,22.0,No,high,1.8,Acer,755,116,80+
